date|description|images|title|link|title_state|description_state
2018-03-20 (21:03)|  Numer:\-1132- 34\Nazwa:\II RP 5 złotych 1930 Sztandar st.3+\Opis:\Resztki połysku, ryski.\Waga:\18,01 g Ag .750\Literatura:\Fischer OB 014\ |['https://archiwum.niemczyk.pl/images/201803/7232873203_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201803/7232873203_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3+|https://archiwum.niemczyk.pl/page/7232873203/ii-rp-5-zlotych-1930-sztandar-st3|3+|3+
2018-03-19 (21:03)|  Numer:\-1287- 1287\Nazwa:\II RP 5 złotych 1930 Sztandar st.3+\Opis:\Dużo połysku, dobrze zachowane detale.\Ryski.\Waga:\18,03 g Ag .750\Literatura:\Fischer OB 014\ |['https://archiwum.niemczyk.pl/images/201803/7226291610_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201803/7226291610_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3+|https://archiwum.niemczyk.pl/page/7226291610/ii-rp-5-zlotych-1930-sztandar-st3|3+|3+
2018-03-10|Jedna z najrzadszych obiegowych monet okresu II RP.\Piękny egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale.\\Bardzo rzadki w takim stanie zachowania.\Parchimowicz 115 b\Stan zachowania NGC MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1517828516_1371K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1517828516_1371K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1517828516_1371K%20_3_.jpg']|II RP. 5 złotych 1930 Sztandar, STEMPEL GŁĘBOKI NGC MS62|https://archiwum.niemczyk.pl/auction/25/568/ii-rp-5-zlotych-1930-sztandar-stempel-gleboki-ngc-ms62|NGC MS62|NGC MS62
2018-03-10|Delikatnie przetarty egzemplarz jednej z najrzadszych monet obiegowych II RP.\Parchimowicz 115b\\Stan zachowania 1-/2+\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1517828749_1460K%20_2_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1517828749_1460K%20_1_.JPG']|II RP. 5 złotych 1930 Sztandar stempel GŁĘBOKI|https://archiwum.niemczyk.pl/auction/25/569/ii-rp-5-zlotych-1930-sztandar-stempel-gleboki||1-/2+
2018-03-10|Piękny egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale. Bardzo rzadki w takim stanie zachowania. Delikatna kolorowa patyna.\Fischer OB 014\\\Stan zachowania PCGS MS63\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1517828836_1174K.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1517828836_1174K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1517828836_1174K%20_3_.jpg']|II RP. 5 złotych 1930 Sztandar PCGS MS63|https://archiwum.niemczyk.pl/auction/25/570/ii-rp-5-zlotych-1930-sztandar-pcgs-ms63|PCGS MS63|PCGS MS63
2018-03-10|Bardzo ładny egzemplarz. Drobne skazy w tle. Połysk menniczy, patyna.\Fischer OB 014\\\Stan zachowania 1-/2+\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1517829058_1190K%20_1_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1517829058_1190K%20_2_.JPG']|II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/25/571/ii-rp-5-zlotych-1930-sztandar||1-/2+
2018-03-10|"Najwyższa nota gradingowa na świecie. Moneta wybita stemplem lustrzanym, w nieznanym nakładzie.\\W katalogu J. Parchimowicza adnotacja ""NIENOTOWANA"".  Fotografia monety w katalogu Janusza Parchimowicza na stronie 188.\Niezwykle efektowna moneta wybita dla celów kolekcjonerskich stemplem lustrzanym. Na specjalnie przygotowanym krążku odciska się polerowanym stemplem relief monety, tło charakteryzuje się lustrzaną powierzchnią, elementy wypukłe są matowe, co nadaje monecie niezwykły efekt. Dodatkowo głębszy niż przy standardowych emisjach stempel stwarza dodatkowe wrażenie trzeciego wymiaru. Naturalna patyna, wyjątkowej urody i rzadkości przedmiot.\\Moneta wybita w mennicy Warszawskiej (znak mennicy na rewersie, na dole, po lewej stronie drzewca sztandaru). Na rancie napis SALUS - REIPUBLICAE - SUPREMA - LEX.\Piękny egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale. Ekstremalnie rzadka próbna moneta II RP wybita stemplem lustrzanym, najpiękniejsza jaką widzieliśmy.\Moneta w takim stanie zachowania i rzadkości to ozdoba każdej kolekcji.\Parchimowicz P 144c (fotografia tej monety) , Notatki poz.19 (30.-).\\Stan zachowania NGC PF64 CAMEO\Waga Ag\Średnica 33 mm"|['https://archiwum.niemczyk.pl/images/auction/orginal/1517476984_1507277801_sztandar1a.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1509978199_463%20K%20_%20256%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1509978199_463%20K%20_%20256%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1517476984_1507277801_sztandar1b.jpg']|II RP. PRÓBA srebro 5 złotych 1930 Sztandar, stempel LUSTRZANY NGC PF64 CAMEO (MAX)|https://archiwum.niemczyk.pl/auction/25/690/ii-rp-proba-srebro-5-zlotych-1930-sztandar-stempel-lustrzany-ngc-pf64-cameo-max|NGC PF64|NGC PF64
2018-03-06 (21:03)|  Numer:\-1321- 250\Nazwa:\II RP 5 złotych 1930 Sztandar st.2-\Opis:\Polski slab PCG - ocena stanu zachowania tej firmy nie są miarodajne.\Moneta ze wspaniałą, kolorową patyną.\Waga:\Ag .750\Literatura:\Fischer OB 014\ |['https://archiwum.niemczyk.pl/images/201803/7207854468_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201803/7207854468_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.2-|https://archiwum.niemczyk.pl/page/7207854468/ii-rp-5-zlotych-1930-sztandar-st2|2-|2-
2018-01-24 (20:01)|  Numer:\-1292- 76\Nazwa:\II RP 5 złotych 1930 Sztandar st.3+\Opis:\Patyna.\Waga:\17,93 g Ag .750\     |['https://archiwum.niemczyk.pl/images/201801/7137804452_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201801/7137804452_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3+|https://archiwum.niemczyk.pl/page/7137804452/ii-rp-5-zlotych-1930-sztandar-st3|3+|3+
2018-01-07 (19:01)|  Numer:\-1062- 18\Nazwa:\II RP 5 złotych 1930 sztandar st.2+ BARDZO ŁADNY\Opis:\Piękny egzemplarz, złota patyna.\Waga:\11,07 g Ag .750\Literatura:\Fischer OB 014\    Firma wystawia dużą kolekcję monet oraz pięknych sreber - zapraszamy na nasze pozostałe aukcje: NIEMCZYKpl|['https://archiwum.niemczyk.pl/images/201801/7098990626_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201801/7098990626_1_orginal.jpg']|II RP 5 złotych 1930 sztandar st.2+ BARDZO ŁADNY|https://archiwum.niemczyk.pl/page/7098990626/ii-rp-5-zlotych-1930-sztandar-st2-bardzo-ladny|2+|2+
2018-01-07 (19:01)|  Numer:\-1062- 17\Nazwa:\II RP 5 złotych 1930 sztandar st.2 BARDZO ŁADNY\Opis:\Połysk, bardzo ładny egzemplarz.\Waga:\17,01 g Ag .750\Literatura:\Fischer Ob 014\    Firma wystawia dużą kolekcję monet oraz pięknych sreber - zapraszamy na nasze pozostałe aukcje: NIEMCZYKpl|['https://archiwum.niemczyk.pl/images/201801/7098990360_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201801/7098990360_1_orginal.jpg']|II RP 5 złotych 1930 sztandar st.2 BARDZO ŁADNY|https://archiwum.niemczyk.pl/page/7098990360/ii-rp-5-zlotych-1930-sztandar-st2-bardzo-ladny|2|2
2017-12-16|Delikatnie przetarty egzemplarz jednej z najrzadszych monet obiegowych II RP.\Parchimowicz 115b\\Stan zachowania 3+\Waga 18,01 g Ag .750\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1509377410_844%20K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1509377410_844%20K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar stempel GŁĘBOKI|https://archiwum.niemczyk.pl/auction/24/842/ii-rp-5-zlotych-1930-sztandar-stempel-gleboki||3+
2017-12-16|Bardzo ładny egzemplarz, połysk menniczy. Patyna.\Fischer: OB 014\\Stan zachowania 2\Waga 18,04 g\Średnica 33 mm|['https://archiwum.niemczyk.pl/images/auction/orginal/1508917692_704%20K%20_1_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1508917692_704%20K%20_2_.JPG']|II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/24/843/ii-rp-5-zlotych-1930-sztandar||2
