date|description|id|images|link|title
2021-01-14 (21:01)|II RP 10 złotych 1939 Piłsudski RZADSZY st. 2\Ładny egzemplarz. Patyna. Drobne ryski.\10,96 g Ag .750\Fischer OB 015|25|['https://archiwum.niemczyk.pl/images/202101/68406de84ba8904eac0e8d6a20c7_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202101/ccb85cb14061a8b863552cf13df4_orginal.jpg']|https://archiwum.niemczyk.pl/page/10083251129/ii-rp-10-zlotych-1939-pilsudski-rzadszy-st-2|II RP 10 złotych 1939 Piłsudski RZADSZY st. 2
2021-01-14 (21:01)|II RP 10 złotych 1939 Piłsudski RZADSZY st. 2\Ładny egzemplarz. Patyna. Drobne ryski.\10,99 g Ag .750\Fischer OB 015|26|['https://archiwum.niemczyk.pl/images/202101/8be71ba645da96548b8b10dfb379_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202101/b3a6024b4912a44f24a950192d28_orginal.jpg']|https://archiwum.niemczyk.pl/page/10083259028/ii-rp-10-zlotych-1939-pilsudski-rzadszy-st-2|II RP 10 złotych 1939 Piłsudski RZADSZY st. 2
2021-01-10 (19:01)|II RP 10 złotych 2 x 1936, 1939 Piłsudski, 3 szt. st. 3/3+\Stara patyna.\Fischer OB 023\3 x 22,00 g Ag .750|27|['https://archiwum.niemczyk.pl/images/202101/8da5f2e2413fb67c6e5b09f881c8_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202101/4cb1527d4df7b7f1d48fe80eb193_orginal.jpg']|https://archiwum.niemczyk.pl/page/10066962485/ii-rp-10-zlotych-2-x-1936-1939-pilsudski-3-szt|II RP 10 złotych 2 x 1936, 1939 Piłsudski, 3 szt.
2020-12-13|Druga najwyższa nota gradingowa na świecie. \Idealnie zachowany egzemplarz.\Gabinetowa sztuka, bardzo rzadka w takim stanie zachowania.\\Parchimowicz 124f\\Stan zachowania NGC MS65\Waga\Średnica|28|['https://archiwum.niemczyk.pl/images/auction/orginal/1605276860_1304.K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605276860_1304.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605276860_1304.K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/70/2073/ii-rp-10-zlotych-1939-pilsudski-ngc-ms65-2-max-piekny-egzemplarz|II RP. 10 złotych 1939 Piłsudski NGC MS65 (2 MAX) - PIĘKNY EGZEMPLARZ
2020-12-13|Menniczy okaz z delikatną, nienaruszoną patyną.\Moneta o pięknej prezencji, rzadsza w tek wysokiej nocie gradingowej.\\Parchimowicz 124f\\Stan zachowania NGC MS64\Waga\Średnica|29|['https://archiwum.niemczyk.pl/images/auction/orginal/1605514788_2370K%20_1_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605514788_2370K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605514789_2370K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/70/2074/ii-rp-10-zlotych-1939-pilsudski-ngc-ms64|II RP. 10 złotych 1939 Piłsudski NGC MS64
2020-12-13|Wyśmienicie zachowana moneta.\Piękne tło bez mikrorysek. Połysk.\Wyszukany okaz.\\Parchimowicz 124f\\Stan zachowania NGC MS63\Waga\Średnica|30|['https://archiwum.niemczyk.pl/images/auction/orginal/1605514905_1228.K%20_3_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605514906_1228.K%20_1_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605514906_1228.K%20_4_.jpg']|https://archiwum.niemczyk.pl/auction/70/2075/ii-rp-10-zlotych-1939-pilsudski-ngc-ms63|II RP. 10 złotych 1939 Piłsudski NGC MS63
2020-12-13|Pięknie zachowany egzemplarz, połysk menniczy, delikatna patyna.\Rzadsza moneta w takim stanie zachowania.\\Parchimowicz 124f\\Stan zachowania NGC MS63\Waga\Średnica|31|['https://archiwum.niemczyk.pl/images/auction/orginal/1605515110_648K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605515110_648K%20_3_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605515110_648K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/70/2076/ii-rp-10-zlotych-1939-pilsudski-ngc-ms63|II RP. 10 złotych 1939 Piłsudski NGC MS63
2020-12-13|Piękny egzemplarz.\\Parchimowicz 124f\\Stan zachowania 1-/2+\Waga 22,04 g Ag\Średnica|32|['https://archiwum.niemczyk.pl/images/auction/orginal/1605515192_2542K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605515192_2542K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/70/2077/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2020-12-13|Wspaniale zachowany egzemplarz, intensywny połysk menniczy.\Piękna kolorowa patyna. Świetna prezencja.\\Parchimowicz 124f\\Stan zachowania 1/1-\Waga 22,02 g Ag\Średnica|33|['https://archiwum.niemczyk.pl/images/auction/orginal/1605515331_2619K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605515331_2619K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/70/2078/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2020-12-13|Wspaniale zachowana moneta.\Połysk, zielonkawa patyna.\\Parchimowicz 124f\\Stan zachowania 1-\Waga 22,04 g Ag\Średnica|34|['https://archiwum.niemczyk.pl/images/auction/orginal/1605515505_187K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605515505_187K%20_2_.jpg']|https://archiwum.niemczyk.pl/auction/70/2079/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2020-12-13|Piękny egzemplarz.\\Parchimowicz 124f\\Stan zachowania 1-/2+\Waga 21,89 g Ag\Średnica|35|['https://archiwum.niemczyk.pl/images/auction/orginal/1605515644_792.K%20_3_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1605515644_792.K%20_1_.JPG']|https://archiwum.niemczyk.pl/auction/70/2080/ii-rp-10-zlotych-1939-pilsudski|II RP. 10 złotych 1939 Piłsudski
2020-10-26 (19:10)|II RP 10 złotych 1939 Piłsudski st.3 RZADSZY\Piękny egzemplarz, rewers idealny na MS, niestety na twarzy dziadka Piłsudskiego trochę rysek.\Fischer OB 023\21,95 g Ag .750|36|['https://archiwum.niemczyk.pl/images/202010/0dd2e52e4bffadd60b1f9e5582ec_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202010/f49bd402410883d6f0662cc84f90_orginal.jpg']|https://archiwum.niemczyk.pl/page/9819121326/ii-rp-10-zlotych-1939-pilsudski-st3-rzadszy|II RP 10 złotych 1939 Piłsudski st.3 RZADSZY
2020-08-31 (21:08)|II RP 10 złotych 1939 Piłsudski  st. 2/2+\Bardzo ładny egzemplarz\Fischer OB 023\21,95 g Ag .750|37|['https://archiwum.niemczyk.pl/images/202008/e12f8aec49c1a0212a6eca0109ed_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202008/0d5a3b814481bbcd3821e2f1c6b5_orginal.jpg']|https://archiwum.niemczyk.pl/page/9618532313/ii-rp-10-zlotych-1939-pilsudski-st-22|II RP 10 złotych 1939 Piłsudski st. 2/2+
2020-08-31 (21:08)|II RP 10 złotych 1939 Piłsudski  st. 2\Kolorowa patyna.\Fischer OB 023\22,02 g Ag .750|38|['https://archiwum.niemczyk.pl/images/202008/64856a2640ed9433433d076f19d5_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202008/8011402a40eaa97b98caf858fecf_orginal.jpg']|https://archiwum.niemczyk.pl/page/9618529519/ii-rp-10-zlotych-1939-pilsudski-st-2|II RP 10 złotych 1939 Piłsudski st. 2
2020-07-21 (20:07)|Bardzo ładnie zachowana strona z orłem, strona z postacią przetarta mocno.\Waga: 21,96 g Ag .750\Fischer OB 023|39|['https://archiwum.niemczyk.pl/images/202007/21b29ad84e7e9b9ff76c7fbb5ad8_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202007/83929b7d4d2db94e0afec485f616_orginal.jpg']|https://archiwum.niemczyk.pl/page/9501256321/ii-rp-10-zlotych-1939-pilsudski-st3-rzadszy|II RP 10 złotych 1939 Piłsudski st.3 RZADSZY
2020-07-21 (19:07)|Rzadszy rocznik, resztki połysku.\Waga: 21,96 g Ag .750\Fischer OB 023|40|['https://archiwum.niemczyk.pl/images/202007/9589b38448b6a32271de6f7532db_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202007/c4d7a87f4d2abfcaa77a505a6cce_orginal.jpg']|https://archiwum.niemczyk.pl/page/9498221769/ii-rp-10-zlotych-1939-pilsudski-st3|II RP 10 złotych 1939 Piłsudski st.3+
2020-07-21 (19:07)|Rzadszy rocznik, resztki połysku.\Waga: 21,96 g Ag .750\Fischer OB 023|41|['https://archiwum.niemczyk.pl/images/202007/152c7e004771993eb6959c9a9f93_orginal.jpg', 'https://archiwum.niemczyk.pl/images/202007/2fc1b266437ba44c0ea1b9697d22_orginal.jpg']|https://archiwum.niemczyk.pl/page/9498211804/ii-rp-10-zlotych-1939-pilsudski-st3|II RP 10 złotych 1939 Piłsudski st.3+
